image-ID,x,y,z,chisq,vis-probe
23,27334.1,24920.5,1331.19,272.968,1
23,24660.9,30447.7,1496.85,43.3165,1
24,28422.8,25206.9,719.975,474.309,1
24,30617.6,35179.8,817.586,482.459,1
24,30106.2,33923.6,973.196,699.531,1
24,28928.7,24026.2,1042.01,320.016,1
24,30107.6,33841.6,1391.09,39.427,1
25,28433.3,25222.9,756.498,583.406,1
25,30110.9,33908.4,973.043,691.74,1
25,28915.5,24047.7,1028.21,490.85,1
25,30126.4,33869.1,1391.08,45.9381,1
26,21522.6,30312.9,194.955,272.214,1
26,30395.4,33312.8,943.874,370.502,1
26,30104.4,33894.3,966.336,524.124,1
26,28930.9,24053.6,1017.85,432.938,1
27,30751.7,33995.7,419.718,96.9149,1
27,24485.5,26328.8,608.679,31.4063,1
27,30372,33331.4,921.458,544.973,1
27,31228.1,34721.6,930.953,65.1584,1
27,30158.6,33813,973.153,415.95,1
27,28908,24050.1,1004.92,452.458,1
27,30243.2,33160.4,1220.89,30.5888,1
28,30711.1,33973.9,422.321,199.076,1
28,22777.9,23745.4,885.015,281.964,1
28,30299.2,33386.8,931.519,553.079,1
28,31230.2,34697,924.542,119.814,1
28,30140.8,33682.4,958.19,470.011,1
28,22256.5,23231.3,1309.57,39.1813,1
29,30588.1,34103.4,199.568,57.9339,1
29,22737.7,23715.7,900.478,248.194,1
29,30190.9,33423.2,956.964,503.221,1
30,22760.2,23742.3,893.938,273.206,1
30,31213.5,34684.9,930.617,112.359,1
30,30209.9,33393.3,957.696,577.017,1
30,30144.9,33655.6,958.752,400.622,1
31,20753.9,25809.4,615.907,115.078,1
31,30845.2,33478.8,746.683,40.2963,1
31,22782.3,23736.9,895.384,294.223,1
31,31214.8,34657.4,917.187,39.8957,1
31,22197.3,23186.6,1538.4,61.9231,1
32,22773.1,23755.1,868.473,187.789,1
33,20725.4,25809.6,601.508,146.38,1
33,22771.2,23737.8,864.843,287.211,1
34,20793.6,25822.7,691.189,76.2098,1
34,30103.1,29468.1,932.176,352.02,1
34,16198.6,30081.9,1169.18,303.054,1
35,30072.5,29461.4,941.032,451.644,1
35,16179.6,30056.1,1168.4,357.744,1
35,23025,23212,1223.88,302.364,1
36,21007.2,29550.1,337.452,205.411,1
36,20721.3,25850.8,621.608,112.324,1
36,10941.7,38338.9,647.113,450.806,1
36,30092.7,29472.5,949.812,527.566,1
36,16155.2,34335,952.415,729.189,1
36,23024.9,23203,1234.18,213.388,1
37,21007.4,29560.5,369.48,206.345,1
37,20717.9,25822.1,622.532,67.0825,1
37,10940.8,38380.5,648.088,711.029,1
37,16158.9,34326.5,945.403,703.231,1
37,23042.5,23191.4,1232.81,351.911,1
38,21025.3,29563.7,333.018,228.044,1
38,10934.2,38394.1,635.35,571.475,1
38,16179.7,34326.9,948.34,648.741,1
38,23062.8,23191.2,1224.32,194.553,1
39,20995.3,29508.5,305.789,243.667,1
39,20719.1,25818.6,574.238,39.2889,1
39,10938,38395.5,637.445,581.906,1
39,26089.1,29942,797.726,480.363,1
39,16165.9,34325.4,962.097,765.246,1
39,16747.1,23210.2,1183.15,271.916,1
39,23040.6,23186.9,1230.56,205.562,1
40,20998.3,29550.3,343.082,260.739,1
40,10934.4,38385.5,648.333,409.931,1
40,26103.4,29944.6,800.558,377.985,1
40,16167.6,34332.4,957.267,734.915,1
40,33839.9,24704.9,1024.29,259.985,1
40,16735.5,23187.2,1199.96,297.122,1
40,23024.4,23214.3,1230.07,325.647,1
41,21050.3,29482.6,279.322,319.386,1
41,26093.5,29932.6,801.266,572.369,1
41,16171.5,34324,969.163,615.757,1
41,16753.2,23202.4,1188.61,265.958,1
41,23028.2,23183.4,1265.83,320.497,1
41,20122.5,25714.5,1544.04,48.5043,1
42,20979.8,29550.8,343,302.093,1
42,26090,29945.3,793.638,553.708,1
42,16740.8,23221.7,1150.66,86.2824,1
42,18394.6,30689.2,1107.18,521.449,1
43,21008,29509,304.296,303.684,1
43,32491.8,23384.3,349.184,364.374,1
