% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
5.000000000000001E-5     1650                     4.051416478982679E-13
5.000000000000001E-5     1660                     4.051934707675389E-13
5.000000000000001E-5     1670                     4.052410591483227E-13
5.000000000000001E-5     1680                     4.0528837962730636E-13
5.000000000000001E-5     1690                     4.05334253752E-13
5.000000000000001E-5     1700                     4.053785760254917E-13
5.000000000000001E-5     1710                     4.0542073912094995E-13
5.000000000000001E-5     1720                     4.0545829352827025E-13
5.000000000000001E-5     1730                     4.054948183013677E-13
5.000000000000001E-5     1740                     4.0553079846121136E-13
5.000000000000001E-5     1750                     4.0556519626937824E-13
5.000000000000001E-5     1760                     4.0559859800533413E-13
5.000000000000001E-5     1770                     4.056297217547581E-13
5.000000000000001E-5     1780                     4.05659637823376E-13
5.000000000000001E-5     1790                     4.056870300918358E-13
5.000000000000001E-5     1800                     4.0571233330451174E-13
5.000000000000001E-5     1810                     4.0573744370451384E-13
5.000000000000001E-5     1820                     4.0576184120563377E-13
5.000000000000001E-5     1830                     4.057855924159382E-13
5.000000000000001E-5     1840                     4.0580778245234847E-13
5.000000000000001E-5     1850                     4.0582911510467496E-13
5.000000000000001E-5     1860                     4.058487550731986E-13
5.000000000000001E-5     1870                     4.058665996178672E-13
5.000000000000001E-5     1880                     4.0588424272581026E-13
5.000000000000001E-5     1890                     4.05901375135994E-13
5.000000000000001E-5     1900                     4.05917992444064E-13
5.000000000000001E-5     1910                     4.059334699057094E-13
5.000000000000001E-5     1920                     4.059484038480265E-13
5.000000000000001E-5     1930                     4.059622272381426E-13
5.000000000000001E-5     1940                     4.059755625055809E-13
5.000000000000001E-5     1950                     4.059879033007829E-13
5.000000000000001E-5     1960                     4.0599914888985894E-13
5.000000000000001E-5     1970                     4.0601025900267174E-13
5.000000000000001E-5     1980                     4.0602103356678397E-13
5.000000000000001E-5     1990                     4.0603147864494136E-13
5.000000000000001E-5     2000                     4.0604119726205397E-13
5.000000000000001E-5     2010                     4.060505704585856E-13
5.000000000000001E-5     2020                     4.0605922684926787E-13
5.000000000000001E-5     2030                     4.060675300042413E-13
5.000000000000001E-5     2040                     4.0607511156785043E-13
5.000000000000001E-5     2050                     4.060821010111422E-13
5.000000000000001E-5     2060                     4.060890357694555E-13
5.000000000000001E-5     2070                     4.0609576749543E-13
5.000000000000001E-5     2080                     4.0610231534073914E-13
5.000000000000001E-5     2090                     4.0610842006546024E-13
5.000000000000001E-5     2100                     4.061142816091898E-13
5.000000000000001E-5     2110                     4.061196626380852E-13
5.000000000000001E-5     2120                     4.0612446357999273E-13
5.000000000000001E-5     2130                     4.06129213399726E-13
5.000000000000001E-5     2140                     4.061338474635238E-13
5.000000000000001E-5     2150                     4.0613828347276733E-13
5.000000000000001E-5     2160                     4.061425478573399E-13
5.000000000000001E-5     2170                     4.0614632457832624E-13
5.000000000000001E-5     2180                     4.0614991333229116E-13
5.000000000000001E-5     2190                     4.0615346492811757E-13
5.000000000000001E-5     2200                     4.0615686059090775E-13
5.000000000000001E-5     2210                     4.061601522217986E-13
5.000000000000001E-5     2220                     4.0616318137984113E-13
5.000000000000001E-5     2230                     4.061658995837568E-13
5.000000000000001E-5     2240                     4.0616858834050953E-13
5.000000000000001E-5     2250                     4.0617120234951026E-13
5.000000000000001E-5     2260                     4.061737064165475E-13
5.000000000000001E-5     2270                     4.061761043359076E-13
5.000000000000001E-5     2280                     4.0617822082348146E-13
5.000000000000001E-5     2290                     4.061802428400363E-13
5.000000000000001E-5     2300                     4.061822415905233E-13
5.000000000000001E-5     2310                     4.061841499317752E-13
5.000000000000001E-5     2320                     4.061859999341887E-13
5.000000000000001E-5     2330                     4.0618772233462985E-13
5.000000000000001E-5     2340                     4.0618936561296104E-13
5.000000000000001E-5     2350                     4.0619088068896855E-13
5.000000000000001E-5     2360                     4.0619225241864127E-13
5.000000000000001E-5     2370                     4.0619360968162483E-13
5.000000000000001E-5     2380                     4.0619493040809046E-13
5.000000000000001E-5     2390                     4.061962147132658E-13
5.000000000000001E-5     2400                     4.0619741711517536E-13
5.000000000000001E-5     2410                     4.0619856372069473E-13
5.000000000000001E-5     2420                     4.0619962998069177E-13
5.000000000000001E-5     2430                     4.0620057957535776E-13
5.000000000000001E-5     2440                     4.0620151547973564E-13
5.000000000000001E-5     2450                     4.0620242425693257E-13
5.000000000000001E-5     2460                     4.062033074915795E-13
5.000000000000001E-5     2470                     4.062041285705886E-13
5.000000000000001E-5     2480                     4.0620491852097234E-13
5.000000000000001E-5     2490                     4.0620564981030786E-13
5.000000000000001E-5     2500                     4.0620634972331395E-13
5.000000000000001E-5     2510                     4.062070043128476E-13
5.000000000000001E-5     2520                     4.0620759037700153E-13
5.000000000000001E-5     2530                     4.062081677753456E-13
5.000000000000001E-5     2540                     4.0620872782572144E-13
5.000000000000001E-5     2550                     4.062092719747856E-13
5.000000000000001E-5     2560                     4.062097776779755E-13
5.000000000000001E-5     2570                     4.0621026416447686E-13
5.000000000000001E-5     2580                     4.0621071394736564E-13
5.000000000000001E-5     2590                     4.062111425337416E-13
5.000000000000001E-5     2600                     4.062115376884197E-13
